Close/Open evolution,Nombre de bougie,,Pas
-5.0%,0,,0.10%
-4.9%,1,,
-4.8%,2,,
-4.7%,0,,
-4.6%,0,,
-4.5%,0,,
-4.4%,1,,
-4.3%,2,,
-4.2%,1,,
-4.1%,3,,
-4.0%,0,,
-3.9%,1,,
-3.8%,0,,
-3.7%,0,,
-3.6%,4,,
-3.5%,1,,
-3.4%,4,,
-3.3%,3,,
-3.2%,11,,
-3.1%,3,,
-3.0%,4,,
-2.9%,4,,
-2.8%,9,,
-2.7%,7,,
-2.6%,7,,
-2.5%,12,,
-2.4%,18,,
-2.3%,9,,
-2.2%,19,,
-2.1%,21,,
-2.0%,19,,
-1.9%,32,,
-1.8%,28,,
-1.7%,43,,
-1.6%,43,,
-1.5%,54,,
-1.4%,66,,
-1.3%,72,,
-1.2%,87,,
-1.1%,90,,
-1.0%,118,,
-0.9%,169,,
-0.8%,202,,
-0.7%,241,,
-0.6%,356,,
-0.5%,424,,
-0.4%,493,,
-0.3%,603,,
-0.2%,708,,
-0.1%,807,,
0.0%,768,,
0.1%,816,,
0.2%,698,,
0.3%,639,,
0.4%,549,,
0.5%,423,,
0.6%,344,,
0.7%,265,,
0.8%,205,,
0.9%,179,,
1.0%,134,,
1.1%,103,,
1.2%,96,,
1.3%,61,,
1.4%,55,,
1.5%,62,,
1.6%,42,,
1.7%,29,,
1.8%,30,,
1.9%,28,,
2.0%,19,,
2.1%,14,,
2.2%,16,,
2.3%,12,,
2.4%,18,,
2.5%,10,,
2.6%,11,,
2.7%,10,,
2.8%,5,,
2.9%,5,,
3.0%,8,,
3.1%,3,,
3.2%,6,,
3.3%,2,,
3.4%,4,,
3.5%,4,,
3.6%,2,,
3.7%,3,,
3.8%,2,,
3.9%,2,,
4.0%,1,,
4.1%,1,,
4.2%,2,,
4.3%,0,,
4.4%,0,,
4.5%,2,,
4.6%,2,,
4.7%,1,,
4.8%,0,,
